address,key1,key2,key3
eip155:1:0x918dA91Ccbc32B7a6A0cc4eCd5987bbab6E31e6D,Synthetic Tesla,sTSLA,
eip155:1:0x88EF27e69108B2633F8E1C184CC37940A075cC02,Dego Finance,DEGO,
eip155:1:0x18a3563c21062897950BB09339C82b9686a35667,EtherNexus,ENXS,
eip155:1:0x2ffa85f655752fB2aCB210287c60b9ef335f5b6E,Fulcrum WBTC iToken,iWBTC,
eip155:1:0x0947b0e6D821378805c9598291385CE7c791A6B2,Lendingblock,LND,
eip155:1:0x2C4e8f2D746113d0696cE89B35F0d8bF88E0AEcA,OST,OST,
eip155:1:0xADE00C28244d5CE17D72E40330B1c318cD12B7c3,AdEx,ADX,
eip155:1:0x030bA81f1c18d280636F32af80b9AAd02Cf0854e,Aave WETH,aWETH,
eip155:1:0x9f48b2f14517770F2d238c787356F3b961a6616F,Basis Dollar Bond,BSDB,
eip155:1:0x817bbDbC3e8A1204f3691d14bB44992841e3dB35,Cudos,CUDOS,
eip155:1:0x06AF07097C9Eeb7fD685c692751D5C66dB49c215,Chai,CHAI,
eip155:1:0xeE0f286776639cD363Da810DAF3e0623F82576b0,Lung Protocol,L2P,
eip155:1:0xb9871cB10738eADA636432E86FC0Cb920Dc3De24,PRIA,PRIA,
eip155:1:0xAbeA7663c472648d674bd3403D94C858dFeEF728,PUDGY Vault,PUDGY,
eip155:1:0xEeEeeeeEe2aF8D0e1940679860398308e0eF24d6,Ethverse,ETHV,
eip155:1:0xD478161C952357F05f0292B56012Cd8457F1cfbF,Polkamarkets,POLK,
eip155:1:0x7fc2a3a998E8a80dA7F2962C5A8803b641711e6c,Paralism-EPARA,EPARA,
eip155:1:0xCbd0595113c173Ab7746347D0600D390a85a7EEa,Ascend,ACE,
eip155:1:0x3845badAde8e6dFF049820680d1F14bD3903a5d0,The Sandbox,SAND,
eip155:1:0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,Lido DAO,LDO,
eip155:1:0xFF0a024B66739357c4ED231fB3DBC0c8C22749F5,Binance Wrapped WRX,BWRX,
eip155:1:0xaF4DcE16Da2877f8c9e00544c93B62Ac40631F16,Monetha,MTH,
eip155:1:0x73D9E335669462Cbdd6aa3AdaFe9efeE86a37Fe9,Daiquilibrium,DAIQ,
eip155:1:0x88C8Cf3A212c0369698D13FE98Fcb76620389841,Synthetic EOS,sEOS,
eip155:1:0x1c8266A4369aF6d80Df2659Ba47B3c98f35cB8bE,Koji,KOJI,
eip155:1:0x97b65710D03E12775189F0D113202cc1443b0aa2,AstroElon,ELONONE,
eip155:1:0x5b558564B57E4ff88c6b8D8E7EeEe599bF79B368,MultiMillion,MMM,
eip155:1:0x3DB6Ba6ab6F95efed1a6E794caD492fAAabF294D,LTO Network,LTO,
eip155:1:0x9556f8ee795D991fF371F547162D5efB2769425F,DMme,DMME,
eip155:1:0x5979F50f1D4c08f9A53863C2f39A7B0492C38d0f,pTokens LTC,pLTC,
eip155:1:0x0E8d6b471e332F140e7d9dbB99E5E3822F728DA6,Abyss,ABYSS,
eip155:1:0x630bC7dD0aBfc2d196289cE09Db947DD2CAfae7C,Nabox,NABOX,
eip155:1:0x6781a0F84c7E9e846DCb84A9a5bd49333067b104,Zap,ZAP,
eip155:1:0xbbFF862d906E348E9946Bfb2132ecB157Da3D4b4,Sharder,SS,
eip155:1:0xcAfE001067cDEF266AfB7Eb5A286dCFD277f3dE5,ParaSwap,PSP,
eip155:1:0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2,Meta,MTA,
eip155:1:0xb5b8F5616Fe42d5ceCA3e87F3FddbDd8F496d760,ZPER,ZPR,
eip155:1:0xf3Db5Fa2C66B7aF3Eb0C0b782510816cbe4813b8,Everex,EVX,
eip155:1:0x31d4Eb09a216e181eC8a43ce79226A487D6F0BA9,USDM,USDM,
eip155:1:0x261EfCdD24CeA98652B9700800a13DfBca4103fF,Synthetic Gold Ounce,sXAU,
eip155:1:0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor,BNT,
